_id,productId,productName,price,size,color,fabric,productDescription,availableStock,averageRating,categoryName,promoName,discountPercentage
65e723db2b05f3456f8e39e8,1,Pyjama en jersey - Confortable,36.95,S,Vert menthe,Jersey,Pyjama en jersey pour une nuit confortable.,33,2.51,Pyjama,Rentrée Scolaire,50
65e723db2b05f3456f8e39e9,2,Veste en velours - Vintage,86.07,XXL,Rose antique,Velours,Veste en velours vintage pour une touche rétro.,74,2.41,Veste,Black Friday,30
65e723db2b05f3456f8e39ea,3,Short de sport - Sportif,77.98,S,Blanc,Polyester,Short de sport pour un look dynamique.,3,1.34,Sportswear,Promo d'Automne,15
65e723db2b05f3456f8e39eb,4,Short en lin - Décontracté,40.51,S,Bleu clair,Lin,Short décontracté en lin pour les journées ensoleillées.,78,1.43,Short,Back to School,15
65e723db2b05f3456f8e39ec,5,Costume deux pièces - Élégant,36.99,M,Gris anthracite,Laine mélangée,Costume deux pièces élégant pour une allure sophistiquée.,57,4.43,Costume,Saint-Patrick,20
65e723db2b05f3456f8e39ed,6,Veste en jean - Vintage,27.79,XXL,Vert,Denim,Veste en jean vintage pour un look rétro.,49,1.49,Denim,Printemps Fleuri,20
65e723db2b05f3456f8e39ee,7,Chemise élégante - Classe,34.64,S,Rose pâle,Coton,Chemise élégante en coton pour un style raffiné.,24,0.7,Chemise,Printemps Fleuri,20
65e723db2b05f3456f8e39ef,8,Robe midi - Élégant,19.4,M,Blanc,Polyester,Robe midi élégante pour un look tendance.,47,3.36,Robe,Rentrée Scolaire,50
65e723db2b05f3456f8e39f0,9,Robe de soirée - Élégant,90.45,XS,Argent,Soie,Robe de soirée élégante en soie pour une allure sophistiquée.,48,2.59,Robe,Spécial Étudiants,10
65e723db2b05f3456f8e39f1,10,Legging de sport - Sportif,7.78,M,Imprimé camouflage,Spandex,Legging de sport pour un look dynamique.,8,1.95,Sportswear,Spécial Étudiants,10
65e723db2b05f3456f8e39f2,11,Robe cocktail - Élégant,73.54,S,Rouge vif,Polyester,Robe cocktail élégante pour les occasions spéciales.,12,3.57,Robe,Semaine du Client,20
65e723db2b05f3456f8e39f3,12,Chemisier à col lavallière - Classe,73.41,M,Rose poudré,Soie,Chemisier à col lavallière classe pour un look féminin.,92,1.57,Chemisier,Promo Flash,30
65e723db2b05f3456f8e39f4,13,Pull en tricot oversize - Oversize,52.87,S,Bleu ciel,Acrylique,Pull en tricot oversize pour un confort maximal.,66,2.11,Pull,Solde d'hiver,35
65e723db2b05f3456f8e39f5,14,T-shirt basique - Décontracté,93.53,M,Blanc,Coton,T-shirt décontracté en coton pour un look confortable.,52,4.08,T-shirt,Fête du Travail,10
65e723db2b05f3456f8e39f6,15,Robe cocktail - Élégant,96.42,XS,Bleu nuit,Polyester,Robe cocktail élégante pour les occasions spéciales.,28,1.21,Robe,Vacances d'été,25
65e723db2b05f3456f8e39f7,16,Blazer ajusté - Chic,3.71,L,Noir,Polyester,Blazer ajusté chic pour un look professionnel.,38,2.34,Blazer,Semaine du Client,20
